NAMESPACE              NAME                                  TYPE           CLUSTER-IP       EXTERNAL-IP    PORT(S)                                                    AGE     SELECTOR
healthbot              inference-engine                      ClusterIP      10.98.180.80     <none>         8080/TCP,50051/TCP                                         38h     app=inference-engine
healthbot              influxdb                              ClusterIP      10.103.168.173   <none>         8086/TCP                                                   38h     app=tsdb-shim
healthbot              influxdb-node1                        ClusterIP      10.101.60.206    <none>         8086/TCP,8088/TCP                                          38h     app=influxdb,tsdb=node1
healthbot              ingest-jti-native-proxy               ClusterIP      10.105.157.182   <none>         8070/TCP                                                   37h     app=ingest-jti-native-proxy,group-name=healthbot,group-type=device-group
healthbot              ingest-jti-native-proxy-udp           LoadBalancer   10.106.205.119   172.16.11.51   4000:30568/UDP,11111:32520/UDP                             37h     app=ingest-jti-native-proxy,group-name=healthbot,group-type=device-group
healthbot              ingest-snmp-proxy                     ClusterIP      10.110.110.206   <none>         8070/TCP                                                   38h     app=ingest-snmp-proxy,group-name=healthbot,group-type=device-group
healthbot              ingest-snmp-proxy-preserve-sourceip   LoadBalancer   10.105.23.14     172.16.11.52   162:30315/UDP                                              38h     app=ingest-snmp-proxy,group-name=healthbot,group-type=device-group
healthbot              ingest-snmp-proxy-udp                 LoadBalancer   10.99.223.115    172.16.11.51   162:32384/UDP                                              38h     app=ingest-snmp-proxy,group-name=healthbot,group-type=device-group
healthbot              license-client                        ClusterIP      10.105.207.115   <none>         50052/TCP                                                  38h     app=license-client
healthbot              mgd                                   ClusterIP      10.110.144.235   <none>         22/TCP,6500/TCP,8082/TCP                                   38h     app=mgd
healthbot              reports                               ClusterIP      10.102.119.238   <none>         8080/TCP                                                   38h     app=reports
healthbot              rfs-redis                             ClusterIP      10.104.215.170   <none>         26379/TCP                                                  38h     app.kubernetes.io/component=sentinel,app.kubernetes.io/name=redis,app.kubernetes.io/part-of=redis-failover
healthbot              tsdb                                  ClusterIP      10.98.49.187     <none>         8086/TCP                                                   38h     app=tsdb-shim
healthbot              workflow-controller-metrics           ClusterIP      10.109.52.86     <none>         9090/TCP                                                   38h     app=workflow-controller
kube-system            docker-registry-docker-registry       ClusterIP      10.105.90.62     <none>         5000/TCP                                                   38h     app=docker-registry,release=docker-registry
kube-system            kube-dns                              ClusterIP      10.96.0.10       <none>         53/UDP,53/TCP,9153/TCP                                     38h     k8s-app=kube-dns
kube-system            metrics-server                        ClusterIP      10.110.149.69    <none>         443/TCP                                                    38h     app=metrics-server,release=metrics-server
kube-system            opendistro-client-service             ClusterIP      10.107.189.79    <none>         9200/TCP,9300/TCP,9600/TCP,9650/TCP                        38h     role=master
kube-system            opendistro-data-svc                   ClusterIP      None             <none>         9300/TCP,9200/TCP,9600/TCP,9650/TCP                        38h     role=master
kube-system            opendistro-discovery                  ClusterIP      None             <none>         9300/TCP                                                   38h     role=master
kube-system            opendistro-kibana-svc                 ClusterIP      10.99.174.198    <none>         5601/TCP                                                   38h     role=kibana
kubernetes-dashboard   dashboard-metrics-scraper             ClusterIP      10.110.20.14     <none>         8000/TCP                                                   38h     k8s-app=dashboard-metrics-scraper
kubernetes-dashboard   kubernetes-dashboard                  ClusterIP      10.98.71.51      <none>         443/TCP                                                    38h     k8s-app=kubernetes-dashboard
northstar              bgp                                   ClusterIP      10.111.120.157   <none>         179/TCP                                                    37h     app=bmp
northstar              bmp-grpc                              ClusterIP      10.100.68.125    <none>         10002/TCP,10001/TCP                                        37h     app=bmp
northstar              cmgd                                  ClusterIP      10.102.120.114   <none>         2222/TCP,3000/TCP                                          37h     northstar=cmgd
northstar              crpd                                  ClusterIP      10.103.152.244   <none>         40051/TCP,830/TCP                                          37h     app=bmp
northstar              epe-planner                           ClusterIP      10.104.214.83    <none>         8081/TCP                                                   37h     northstar=epe-planner
northstar              ns-celeryworker                       ClusterIP      None             <none>         <none>                                                     37h     app=ns-celeryworker
northstar              ns-filter                             ClusterIP      10.102.248.49    <none>         10004/TCP,8082/TCP                                         37h     app=ns-filter
northstar              ns-ipe                                ClusterIP      10.97.142.122    <none>         3543/TCP                                                   37h     northstar=ipe
northstar              ns-ncc                                ClusterIP      10.104.206.103   <none>         9092/TCP                                                   37h     app=ns-ncc
northstar              ns-netconfd                           ClusterIP      10.97.168.227    <none>         9091/TCP                                                   37h     app=ns-netconfd
northstar              ns-netflowd                           ClusterIP      10.105.241.21    <none>         9000/UDP                                                   37h     app=ns-netflowd
northstar              ns-pceserver                          LoadBalancer   10.99.85.77      172.16.11.53   4189:32705/TCP                                             37h     app=ns-pceserver
northstar              ns-pcviewer                           ClusterIP      10.110.17.194    <none>         7000/TCP                                                   37h     app=ns-pcviewer
northstar              ns-slice-svc                          ClusterIP      10.99.128.130    <none>         3400/TCP                                                   37h     northstar=slice
northstar              ns-web                                ClusterIP      10.98.189.18     <none>         3301/TCP                                                   37h     app=ns-web
northstar              ns-web-planner                        ClusterIP      10.111.244.39    <none>         3600/TCP                                                   37h     app=ns-web-planner
northstar              ptalk                                 ClusterIP      10.100.153.112   <none>         80/TCP                                                     37h     app=ns-ptalkserver
