NAMESPACE              NAME                                                              READY   STATUS      RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
ems                    dpm-75f8cfc9f4-rqndw                                              1/1     Running     0          38h     10.244.135.43    node3   <none>           <none>
ems                    dpm-copystoragesecret-0.0.2-g2a1e881111-hvn9z                     0/1     Completed   0          38h     10.244.166.161   node1   <none>           <none>
ems                    dpm-db-contract-0.0.2-g2a1e881111-nljhg                           0/1     Completed   0          38h     10.244.104.44    node2   <none>           <none>
ems                    dpm-db-create-0.0.2-g2a1e881111-vwh2x                             0/1     Completed   0          38h     10.244.166.162   node1   <none>           <none>
ems                    dpm-db-init-0.0.2-g2a1e881111-k7zqg                               0/1     Completed   0          38h     10.244.104.43    node2   <none>           <none>
ems                    jobmanager-b6fc755b-p4jfk                                         1/1     Running     0          38h     10.244.166.155   node1   <none>           <none>
ems                    jobmanager-copyiamsecret-0.0.4-g2a1e881111-jmms8                  0/1     Completed   0          38h     10.244.166.156   node1   <none>           <none>
ems                    jobmanager-db-create-0.0.4-g2a1e881111-2s8ng                      0/1     Completed   0          38h     10.244.104.35    node2   <none>           <none>
ems                    jobmanager-purge-cron-27290880-jv57k                              0/1     Completed   0          26h     10.244.166.156   node1   <none>           <none>
ems                    jobmanager-purge-cron-27292320-hkn5k                              0/1     Completed   0          147m    10.244.166.141   node1   <none>           <none>
ems                    jobstore-7d9c4b9678-dxvl6                                         1/1     Running     0          38h     10.244.135.36    node3   <none>           <none>
ems                    jobstore-copyiamsecret-0.0.2-g2a1e881111-crjfr                    0/1     Completed   0          38h     10.244.166.153   node1   <none>           <none>
ems                    jobstore-db-contract-0.0.2-g2a1e881111-v774n                      0/1     Completed   0          38h     10.244.135.35    node3   <none>           <none>
ems                    jobstore-db-create-0.0.2-g2a1e881111-vp7v8                        0/1     Completed   0          38h     10.244.166.154   node1   <none>           <none>
ems                    jobstore-db-init-0.0.2-g2a1e881111-4fdd7                          0/1     Completed   0          38h     10.244.135.34    node3   <none>           <none>
ems                    jobstore-load-metadata-0.0.2-g2a1e881111-98dks                    0/1     Completed   0          38h     10.244.104.34    node2   <none>           <none>
ems                    ztpservice-65f64fd457-tn5zn                                       1/1     Running     0          38h     172.16.11.103    node3   <none>           <none>
ems                    ztpservice-copystoragesecret-0.0.5-g2a1e881111-h45x4              0/1     Completed   0          38h     10.244.135.47    node3   <none>           <none>
fault                  alarmmanager-6c9768ddc7-nkdrb                                     1/1     Running     0          38h     10.244.135.48    node3   <none>           <none>
fault                  alarmmanager-db-contract-0.0.6-gbf8650e1d9-b6sx8                  0/1     Completed   0          38h     10.244.104.47    node2   <none>           <none>
