NAMESPACE              NAME                                                              READY   STATUS      RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
ems                    dpm-db-contract-0.0.2-g2a1e881111-9djwz                           0/1     Completed   0          40m     10.244.135.47    node3   <none>           <none>
ems                    dpm-db-create-0.0.2-g2a1e881111-ks9kq                             0/1     Completed   0          40m     10.244.104.29    node2   <none>           <none>
ems                    dpm-db-init-0.0.2-g2a1e881111-lgrg8                               0/1     Completed   0          40m     10.244.166.173   node1   <none>           <none>
ems                    jobmanager-b6fc755b-vvn6c                                         1/1     Running     0          42m     10.244.135.41    node3   <none>           <none>
ems                    jobmanager-copyiamsecret-0.0.4-g2a1e881111-pm4hb                  0/1     Completed   0          42m     10.244.104.22    node2   <none>           <none>
ems                    jobmanager-db-create-0.0.4-g2a1e881111-2cr5q                      0/1     Completed   0          42m     10.244.166.165   node1   <none>           <none>
ems                    jobstore-7d9c4b9678-xhrv7                                         1/1     Running     0          42m     10.244.135.38    node3   <none>           <none>
ems                    jobstore-copyiamsecret-0.0.2-g2a1e881111-8b6fd                    0/1     Completed   0          42m     10.244.104.21    node2   <none>           <none>
ems                    jobstore-db-contract-0.0.2-g2a1e881111-kmjdx                      0/1     Completed   0          42m     10.244.135.40    node3   <none>           <none>
ems                    jobstore-db-create-0.0.2-g2a1e881111-zkhkj                        0/1     Completed   0          42m     10.244.135.39    node3   <none>           <none>
ems                    jobstore-db-init-0.0.2-g2a1e881111-tpfc7                          0/1     Completed   0          42m     10.244.166.163   node1   <none>           <none>
ems                    jobstore-load-metadata-0.0.2-g2a1e881111-n66tj                    0/1     Completed   1          42m     10.244.166.164   node1   <none>           <none>
ems                    ztpservice-65f64fd457-hmj59                                       1/1     Running     0          40m     172.16.11.102    node2   <none>           <none>
ems                    ztpservice-copystoragesecret-0.0.5-g2a1e881111-f5j6p              0/1     Completed   0          40m     10.244.104.32    node2   <none>           <none>
fault                  alarmmanager-6c9768ddc7-v5d92                                     1/1     Running     0          40m     10.244.104.33    node2   <none>           <none>
fault                  alarmmanager-db-contract-0.0.6-gbf8650e1d9-6pwp5                  0/1     Completed   0          40m     10.244.166.180   node1   <none>           <none>
fault                  alarmmanager-db-create-0.0.6-gbf8650e1d9-9twsv                    0/1     Completed   0          40m     10.244.135.51    node3   <none>           <none>
fault                  alarmmanager-db-init-0.0.6-gbf8650e1d9-qg5qf                      0/1     Completed   0          40m     10.244.166.181   node1   <none>           <none>
fault                  telemetrymanager-575c7888db-9bvmf                                 1/1     Running     0          29m     10.244.135.6     node3   <none>           <none>
fault                  telemetrymanager-db-create-0.0.2-g7dec4ce826-vdflc                0/1     Completed   0          29m     10.244.166.130   node1   <none>           <none>
fault                  telemetrymanager-db-init-0.0.2-g7dec4ce826-xtbk8                  0/1     Completed   0          29m     10.244.135.3     node3   <none>           <none>
fault                  telemetrymanager-init-metadata-0.0.2-g7dec4ce826-tn2z8            0/1     Completed   0          29m     10.244.104.44    node2   <none>           <none>
fault                  telemetrymanager-resync-faults-cron-job-27287160-t68kj            0/1     Completed   0          4m24s   10.244.104.57    node2   <none>           <none>
fault                  telemetrymanager-sync-devices-0.0.2-g7dec4ce826-sdfpp             0/1     Completed   0          29m     10.244.135.9     node3   <none>           <none>
fault                  telemetrymanager-upload-rules-0.0.2-g7dec4ce826-6fdkf             0/1     Completed   0          29m     10.244.166.132   node1   <none>           <none>
healthbot              alerta-9dc785fd-hq8vj                                             1/1     Running     0          36m     10.244.104.34    node2   <none>           <none>
healthbot              api-server-754fcbf596-4sslj                                       1/1     Running     0          36m     10.244.135.55    node3   <none>           <none>
healthbot              argo-server-547cc4cc7f-gwnts                                      1/1     Running     0          36m     10.244.135.56    node3   <none>           <none>
healthbot              config-server-7cfcc96bb6-569rh                                    1/1     Running     0          36m     10.244.135.53    node3   <none>           <none>
healthbot              configmanager-9mmcp                                               1/1     Running     0          35m     10.244.135.62    node3   <none>           <none>
healthbot              configmanager-ccd92                                               1/1     Running     0          35m     10.244.135.134   node0   <none>           <none>
healthbot              configmanager-t6kjm                                               1/1     Running     0          35m     10.244.166.190   node1   <none>           <none>
healthbot              configmanager-vkcvt                                               1/1     Running     0          36m     10.244.104.35    node2   <none>           <none>
healthbot              debugger-64b857f996-dsqk5                                         1/1     Running     0          36m     10.244.135.58    node3   <none>           <none>
healthbot              grafana-69b7c9b585-k6tqw                                          1/1     Running     0          36m     10.244.166.183   node1   <none>           <none>
healthbot              hb-proxy-syslog-74f64cf6dc-2njtg                                  1/1     Running     0          31m     10.244.104.43    node2   <none>           <none>
healthbot              hbmon-69874d784-2ghl2                                             1/1     Running     0          36m     10.244.166.184   node1   <none>           <none>
healthbot              inference-engine-7dc766987c-qjx5c                                 1/1     Running     0          36m     10.244.104.39    node2   <none>           <none>
healthbot              influxdb-node1-9778545b-bvrkt                                     1/1     Running     0          36m     10.244.166.182   node1   <none>           <none>
healthbot              ingest-jti-native-proxy-69fcb49467-ncvhm                          1/1     Running     7          22m     10.244.135.46    node3   <none>           <none>
healthbot              ingest-snmp-proxy-2bql9                                           1/1     Running     0          31m     10.244.104.42    node2   <none>           <none>
healthbot              ingest-snmp-proxy-8gls7                                           1/1     Running     1          31m     10.244.135.63    node3   <none>           <none>
healthbot              ingest-snmp-proxy-pwv48                                           1/1     Running     0          31m     10.244.166.191   node1   <none>           <none>
healthbot              license-client-77cd64cbfd-jg8nw                                   1/1     Running     0          36m     10.244.104.37    node2   <none>           <none>
healthbot              mgd-7565967ff4-c4wqr                                              1/1     Running     0          36m     10.244.135.54    node3   <none>           <none>
healthbot              node-exporter-4vrs9                                               1/1     Running     0          36m     10.244.166.189   node1   <none>           <none>
healthbot              node-exporter-g8pgb                                               1/1     Running     0          36m     10.244.104.41    node2   <none>           <none>
healthbot              node-exporter-gqg27                                               1/1     Running     0          36m     10.244.135.59    node3   <none>           <none>
healthbot              redisoperator-57bbd69cb8-vw6gc                                    1/1     Running     0          41m     10.244.104.24    node2   <none>           <none>
healthbot              reports-789dc7f666-8gjnh                                          1/1     Running     0          36m     10.244.104.36    node2   <none>           <none>
healthbot              rfr-redis-0                                                       1/1     Running     0          41m     10.244.166.167   node1   <none>           <none>
healthbot              rfr-redis-1                                                       1/1     Running     0          41m     10.244.135.44    node3   <none>           <none>
healthbot              rfr-redis-2                                                       1/1     Running     0          41m     10.244.104.26    node2   <none>           <none>
healthbot              rfs-redis-6cc57b67fb-4t5l2                                        1/1     Running     0          41m     10.244.104.25    node2   <none>           <none>
healthbot              rfs-redis-6cc57b67fb-btbsl                                        1/1     Running     0          41m     10.244.135.43    node3   <none>           <none>
healthbot              rfs-redis-6cc57b67fb-cqjd2                                        1/1     Running     0          41m     10.244.166.168   node1   <none>           <none>
healthbot              tsdb-shim-9989946cf-5sfl2                                         1/1     Running     0          36m     10.244.166.186   node1   <none>           <none>
