NAMESPACE              NAME                                  TYPE           CLUSTER-IP       EXTERNAL-IP    PORT(S)                                                    AGE   SELECTOR
healthbot              rfs-redis                             ClusterIP      10.109.18.84     <none>         26379/TCP                                                  41m   app.kubernetes.io/component=sentinel,app.kubernetes.io/name=redis,app.kubernetes.io/part-of=redis-failover
healthbot              tsdb                                  ClusterIP      10.110.145.63    <none>         8086/TCP                                                   36m   app=tsdb-shim
healthbot              workflow-controller-metrics           ClusterIP      10.109.18.89     <none>         9090/TCP                                                   36m   app=workflow-controller
kube-system            docker-registry-docker-registry       ClusterIP      10.107.207.200   <none>         5000/TCP                                                   55m   app=docker-registry,release=docker-registry
kube-system            kube-dns                              ClusterIP      10.96.0.10       <none>         53/UDP,53/TCP,9153/TCP                                     78m   k8s-app=kube-dns
kube-system            metrics-server                        ClusterIP      10.111.137.142   <none>         443/TCP                                                    54m   app=metrics-server,release=metrics-server
kube-system            opendistro-client-service             ClusterIP      10.104.111.220   <none>         9200/TCP,9300/TCP,9600/TCP,9650/TCP                        51m   role=master
kube-system            opendistro-data-svc                   ClusterIP      None             <none>         9300/TCP,9200/TCP,9600/TCP,9650/TCP                        51m   role=master
kube-system            opendistro-discovery                  ClusterIP      None             <none>         9300/TCP                                                   51m   role=master
kube-system            opendistro-kibana-svc                 ClusterIP      10.102.180.88    <none>         5601/TCP                                                   51m   role=kibana
kubernetes-dashboard   dashboard-metrics-scraper             ClusterIP      10.106.226.229   <none>         8000/TCP                                                   54m   k8s-app=dashboard-metrics-scraper
kubernetes-dashboard   kubernetes-dashboard                  ClusterIP      10.107.61.62     <none>         443/TCP                                                    54m   k8s-app=kubernetes-dashboard
northstar              bgp                                   ClusterIP      10.108.88.148    <none>         179/TCP                                                    26m   app=bmp
northstar              bmp-grpc                              ClusterIP      10.96.100.193    <none>         10002/TCP,10001/TCP                                        26m   app=bmp
northstar              cmgd                                  ClusterIP      10.103.161.151   <none>         2222/TCP,3000/TCP                                          26m   northstar=cmgd
northstar              crpd                                  ClusterIP      10.104.168.109   <none>         40051/TCP,830/TCP                                          26m   app=bmp
northstar              epe-planner                           ClusterIP      10.101.40.113    <none>         8081/TCP                                                   25m   northstar=epe-planner
northstar              ns-celeryworker                       ClusterIP      None             <none>         <none>                                                     25m   app=ns-celeryworker
northstar              ns-filter                             ClusterIP      10.108.134.95    <none>         10004/TCP,8082/TCP                                         26m   app=ns-filter
northstar              ns-ipe                                ClusterIP      10.107.170.97    <none>         3543/TCP                                                   25m   northstar=ipe
northstar              ns-ncc                                ClusterIP      10.108.100.153   <none>         9092/TCP                                                   25m   app=ns-ncc
northstar              ns-netconfd                           ClusterIP      10.100.165.34    <none>         9091/TCP                                                   25m   app=ns-netconfd
northstar              ns-netflowd                           ClusterIP      10.107.7.195     <none>         9000/UDP                                                   25m   app=ns-netflowd
northstar              ns-pceserver                          LoadBalancer   10.102.194.121   172.16.11.53   4189:30647/TCP                                             25m   app=ns-pceserver
northstar              ns-pcviewer                           ClusterIP      10.101.74.52     <none>         7000/TCP                                                   25m   app=ns-pcviewer
northstar              ns-slice-svc                          ClusterIP      10.99.89.83      <none>         3400/TCP                                                   24m   northstar=slice
northstar              ns-web                                ClusterIP      10.96.22.71      <none>         3301/TCP                                                   26m   app=ns-web
northstar              ns-web-planner                        ClusterIP      10.100.155.249   <none>         3600/TCP                                                   24m   app=ns-web-planner
northstar              ptalk                                 ClusterIP      10.110.132.199   <none>         80/TCP                                                     25m   app=ns-ptalkserver
northstar              rabbitmq                              ClusterIP      10.111.70.61     <none>         4369/TCP,5672/TCP,25672/TCP,15672/TCP                      29m   app=rabbitmq,release=rabbitmq
northstar              rabbitmq-headless                     ClusterIP      None             <none>         4369/TCP,5672/TCP,25672/TCP,15672/TCP                      29m   app=rabbitmq,release=rabbitmq
northstar              redis-master                          ClusterIP      10.105.18.159    <none>         6379/TCP                                                   29m   app=redis,release=redis,role=master
paragonui              paragon-ui                            ClusterIP      10.107.13.83     <none>         8080/TCP                                                   43m   app=paragon-ui
report                 report-service                        ClusterIP      10.96.233.193    <none>         9091/TCP                                                   40m   app.kubernetes.io/instance=report-service,app.kubernetes.io/name=report
rook-ceph              csi-cephfsplugin-metrics              ClusterIP      10.108.245.231   <none>         8080/TCP,8081/TCP                                          74m   contains=csi-cephfsplugin-metrics
rook-ceph              csi-rbdplugin-metrics                 ClusterIP      10.107.15.186    <none>         8080/TCP,8081/TCP                                          74m   contains=csi-rbdplugin-metrics
rook-ceph              rook-ceph-mgr                         ClusterIP      10.105.135.111   <none>         9283/TCP                                                   71m   app=rook-ceph-mgr,ceph_daemon_id=a,rook_cluster=rook-ceph
rook-ceph              rook-ceph-mon-a                       ClusterIP      10.104.157.143   <none>         6789/TCP,3300/TCP                                          73m   app=rook-ceph-mon,ceph_daemon_id=a,mon=a,mon_cluster=rook-ceph,rook_cluster=rook-ceph
rook-ceph              rook-ceph-mon-b                       ClusterIP      10.97.225.240    <none>         6789/TCP,3300/TCP                                          73m   app=rook-ceph-mon,ceph_daemon_id=b,mon=b,mon_cluster=rook-ceph,rook_cluster=rook-ceph
rook-ceph              rook-ceph-mon-c                       ClusterIP      10.107.154.241   <none>         6789/TCP,3300/TCP                                          72m   app=rook-ceph-mon,ceph_daemon_id=c,mon=c,mon_cluster=rook-ceph,rook_cluster=rook-ceph
rook-ceph              rook-ceph-rgw-object-store            ClusterIP      10.97.191.253    <none>         80/TCP                                                     71m   app=rook-ceph-rgw,ceph_daemon_id=object-store,rgw=object-store,rook_cluster=rook-ceph,rook_object_store=object-store
